name,address,latitude,longitude,month,average,variance,min,max
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1998-08,0.0,0.0,0.0,0.0
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1998-09,0.08974666666666666,0.15580539843678143,0.0,2.159
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1998-10,0.17452258064516127,0.11293491113978495,0.0,1.27
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1998-11,1.006686666666667,1.8002848680919539,0.0,6.1722
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1998-12,0.5841999999999999,1.1133311066666665,0.0,5.5118
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1999-01,0.6399161290322583,0.8239303673978497,0.0,3.9370000000000003
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1999-02,0.8989785714285714,1.1295241106349205,0.0,3.7846
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1999-03,0.3048,0.17109643200000008,0.0,1.7272
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1999-04,0.10752666666666669,0.05689347167816094,0.0,1.1938000000000002
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1999-05,0.12781935483870968,0.040837934279569894,0.0,0.9144
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1999-06,0.1659466666666667,0.1508665874022988,0.0,1.905
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1999-07,0.04588387096774193,0.018254559397849465,0.0,0.508
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1999-08,0.01310967741935484,0.0013277809032258064,0.0,0.1524
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1999-09,0.00762,0.0017419320000000016,0.0,0.2286
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1999-10,0.19746451612903226,0.20833118236559162,0.0,1.7780000000000002
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1999-11,0.5706533333333333,0.5864163280919539,0.0,2.4130000000000003
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,1999-12,0.2662903225806451,0.12481140490322581,0.0,1.0668
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2000-01,0.4907935483870967,0.247715078623656,0.0,1.5748
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2000-02,0.3713655172413794,0.26568674019704436,0.0,2.2098
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2000-03,0.23433548387096775,0.2172343903655914,0.0,2.1082
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2000-04,0.13292666666666667,0.08519152409195405,0.0,1.4986
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2000-05,0.1786193548387097,0.07430023294623656,0.0,1.1176
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2000-06,0.07874,0.036945421103448284,0.0,0.7874
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2000-07,0.01966451612903226,0.003514387698924732,0.0,0.2286
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2000-08,0.004916129032258065,0.0007492180645161283,0.0,0.1524
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2000-09,0.09652000000000001,0.05296541131034477,0.0,1.0922
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2000-10,0.25236129032258064,0.31948045711827944,0.0,2.3368
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2000-11,0.16002,0.11506762303448283,0.0,1.4478000000000002
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2000-12,0.26055483870967744,0.30236359922580663,0.0,2.6162
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2001-01,0.09422580645161291,0.031363100645161304,0.0,0.762
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2001-02,0.08617857142857144,0.025153559523809526,0.0,0.5842
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2001-03,0.19500645161290323,0.12840348929032264,0.0,1.7018000000000002
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2001-04,0.14816666666666667,0.04601028988505748,0.0,0.9398
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2001-05,0.09504516129032259,0.1094177485591397,0.0,1.7526000000000002
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2001-06,0.15832666666666664,0.14908461098850576,0.0,1.9304000000000001
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2001-07,0.0475225806451613,0.02218240447311824,0.0,0.6096
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2001-08,0.06309032258064516,0.08128461023655913,0.0,1.5748
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2001-09,0.06265333333333335,0.06913148947126437,0.0,1.3970000000000002
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2001-10,0.24498709677419359,0.2356790291612903,0.0,2.159
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2001-11,0.5664200000000001,0.8495711595862064,0.0,3.683
Hayden Island Rain Gage,1740 N Jantzen Beach Center Portland OR 97217,45.6142082,-122.6855659,2001-12,0.4662129032258064,0.4543022478279571,0.0,2.9718
